Desarrollador,ID_desarrollador
OVERDRIVE,1
Monte Cristo  Multimedia,2
Param,3
Zeroscale,4
5pb. Inc.,5
3Division,6
EA DICE,7
Cyber Planet Interactive,8
Independent Arts Software GmbH,9
Gas Powered Games,10
Fabio Ferrara,11
Aki Corp.,12
Quaint Emerald,13
,14
Mobius Entertainment,15
Bigmoon Entertainment,16
Garakuda Studio,17
Nighthawk Interactive,18
Creative Assembly,19
Heavy Iron Studios,20
Transhuman Design,21
EM Studios Limited,22
SkyRiver Studios,23
AQ Interactive,24
Box Clever Interactive,25
Eclipse Software,26
BioWare / LucasArts,27
Career Soft,28
Reflections Interactive,29
Pilgrim Adventures,30
System Prisma,31
Marionette,32
Keys Factory,33
Ubisoft Quebec,34
Digital Mayhem,35
SnapDragon Games,36
Rockstar Vancouver,37
PowPow,38
Team Soho,39
EA Vancouver,40
Game Freak,41
Takara Tomy,42
Nvizzio Creations,43
Tommo,44
Beamdog,45
Ukiyotei,46
Bongfish,47
Engine Software BV,48
Fast Travel Games,49
"Big Grub / Shiny Entertainment, Inc.",50
EA Pacific,51
Shin'en GmbH,52
Pumpkin Studios,53
Rockstar Leeds,54
Activision Value,55
Cyanide,56
Roll7,57
Game Sauce,58
KCEJ / Kojima Productions,59
Soliton,60
Bright Light Productions,61
MAGES. Inc.,62
Winky Soft,63
Hoget,64
Behaviour Interactive,65
WinkySoft,66
Dennaton Games,67
Starbreeze Studios/Tigon Studios,68
Ubisoft Barcelona / Inland Productions,69
Toby Fox,70
Broccoli,71
Incinerator Studios,72
Check Six Games,73
Pyro Studios,74
Virtuos Games,75
Darkworks,76
Game Design Sweden AB,77
Barnhouse Effect,78
Oberon Media,79
Slant Six Games,80
tri-Crescendo / Monolith Soft,81
Kaneko Co. Ltd,82
SEK Ost,83
Aqua Pacific,84
Russel,85
PuzzleKings,86
Lion's Shade,87
Noise Factory,88
KnowWonder,89
Compile Heart,90
Maxis,91
Program-Ace,92
Distinctive Developments Ltd,93
Shadow Planet Productions,94
Foundation 9,95
Toy Box,96
P2 Games,97
Firemint,98
Ignition Entertainment,99
Leaping Lizard Software Inc.,100
Sproing Interactive Media / Deep Silver Vienna,101
Climax Entertainment,102
Enix Corporation,103
XPEC Entertainment Inc.,104
Ion Storm,105
Micro Cabin,106
GSP,107
Smack Down Productions,108
Pandemic Studios,109
Double Damage Games,110
Hamster,111
Kylotonn,112
Epicenter Interactive,113
Small Rockets,114
Viva Media,115
Playboom,116
Game Arts / Seta Corporation,117
Asgard,118
Monolith Soft,119
EA?�Tiburon,120
Scitron & Art,121
SCEA San Diego Studios,122
h.a.n.d. Inc.,123
SCEE,124
Vicarious Visions,125
Game-life / Mad Monkey Studio,126
Monster Games,127
BioWare Corporation,128
Ignatus Zuk and Gonzalo Villagomez,129
B.B. Studio,130
Trion Worlds,131
Planet Entertainment,132
Game Republik,133
Natsume,134
Game Studio,135
Relic Entertainment,136
Clover Studio,137
Paragon 5,138
LightBox Interactive,139
Giorgi Abelashvili,140
Digital?�Eclipse,141
Toka,142
NEC Interchannel,143
Midway,144
Sandbox,145
System Soft Alpha,146
SVG Distribution,147
imageepoch Inc.,148
Magic Rings,149
Anchor Entertainment,150
Hiromi,151
Focus Multimedia,152
Hitmaker,153
Lucky Chicken Games,154
Brain in a Jar,155
Shade,156
Genius Sonority Inc.,157
Ape Studios / HAL Laboratory / Brownie Brown,158
Square Enix,159
Telesys,160
Paradigm Entertainment,161
AWE Games,162
Blam!,163
Ruby Party,164
Black Lantern Studios,165
Touchdown Entertainment,166
Elf,167
Melesta,168
"Lightweight Co.,Ltd.",169
Destructive Creations,170
Stardock,171
Proletariat Inc.,172
SCEE Cambridge,173
Eurocom?�Entertainment?�Software,174
Team Tachyon,175
Taito Corporation,176
Ubisoft Barcelona,177
Anima Games Studio,178
Playful Corp.,179
Next Level Games,180
Cat5Games,181
Key,182
Triple Eh?,183
Warhorse Studios,184
Tornado Studios,185
Warashi,186
Syrox Developments,187
Hopelite Research,188
The EDGE Interactive,189
Granzella,190
Mouldy Toof Studios,191
KING Art Games,192
Gadget Soft,193
Imadio,194
Magic Pixel Games,195
Racdym,196
ASC Games,197
Denton Designs,198
Neverland Company,199
Labyrinthine,200
Volatile Games,201
THQ Australia Studios Pty Ltd.,202
Top Heavy Studios,203
Triangle Studios,204
Vridge Inc.,205
Shoeisha,206
Firehazard Studio,207
Starfish SD,208
3d6 Games,209
Nihilistic Software,210
AlienTrap Games,211
NEW?�Corporation,212
Tetragon,213
Ubisoft San Francisco,214
CrazyBunch,215
Tecmo / Graphic Research,216
Noise Inc.,217
Yukie's Osaka,218
Secret Level,219
Gaijin Games Inc.,220
Men-A-Vision,221
Bossa Studios,222
Blast Games,223
GlyphX Games,224
Video System,225
JForce Games,226
Crawfish Interactive - Climax,227
Climax Group,228
Hypnotix,229
Atomic Motion,230
Panic Button Games Inc.,231
HammerHead Ltd.,232
Shogakukan,233
Konami Software Shanghai,234
SCEA Bend Studio,235
Trilobyte,236
Ubisoft Vancouver,237
Osiris Studios,238
TEAM HORAY,239
Curious Pictures,240
DreamRift,241
Venom Games,242
ArenaNet,243
Blue Byte Studio,244
Bohemia Interactive,245
Ape Studios / HAL Laboratory,246
Amuze,247
Seven45 Studios,248
EA Redwood Shores,249
Red Line Studios,250
Probe Entertainment,251
Nintendo / TNX,252
Zo?� Mode,253
Capcom Production Studio 1,254
TOSE,255
Eidos Interactive,256
SNK Corporation,257
BioWare / Demiurge Studios,258
Blueshift,259
Virtual Toys / Lexis Numerique,260
Telenet Japan / Wolteam,261
Bandai Namco,262
Starsphere Interactive,263
Forever Entertainment S.A.,264
Vertigo Gaming Inc.,265
Nintendo IRD,266
Daito,267
Wicked Studios,268
Creations,269
Wargaming West,270
Capcom Production Studio 1 / TOSE Software,271
Climax Studios,272
Trine Games,273
Circle 5 Studios,274
Clockwork Games,275
Digital Integration,276
Vogster Entertainment,277
Autumn Moon Entertainment,278
WayForward Pocket Team,279
Bemani,280
WXP / Screenlife Games,281
"Alawar Entertainment, Inc.",282
Xseed Games,283
Gaijinworks,284
Arzest,285
Mikoishi,286
KCET,287
EuroVideo Medien,288
Amaze Entertainment,289
Idol Minds Digital,290
Axyos Games,291
49Games,292
Benesse,293
Microvision,294
Now Production,295
eGames/Techfront,296
Land Ho!,297
Destineer,298
Hokus Pokus,299
Studio Pixel,300
MLB Advanced Media,301
ZootFly,302
OneNine Studios,303
Twilight Frontier,304
Cranberry Production,305
D3Publisher,306
Jester Interactive,307
En Masse,308
Arc System Works,309
Lab Rats Games,310
Global Star Software,311
Visual Impact Productions,312
Spike / Bandai Namco Games,313
Big Park,314
thatgamecompany,315
"Livesay Technologies, Inc.",316
PopCap,317
Genius Sonority Inc./Eighting,318
Hack Berry,319
Boston Animation,320
Nexon,321
PawaPuro Production,322
Vision Media Engineering,323
Project ACES,324
Infogrames Melbourne,325
Rain Games,326
Neon,327
thumbfood Ltd.,328
Team Ninja,329
Classic Media Distribution Limited,330
Creat Studio,331
"Visual Concepts, Ltd.",332
Tomcat System,333
Koei Tecmo Games,334
Dorart,335
ASCII Entertainment,336
TimeGate,337
"Cing, Inc",338
Take 2 Interactive,339
skip Ltd.,340
Outrage Games,341
Hot Lava Games,342
Various,343
Le Cortex,344
Arkane Studios,345
Phoenix,346
Sarbakan Inc.,347
Dambuster Studios,348
Rayark Inc.,349
Gray Matter Inc.,350
Kalypso Media,351
Telltale Games,352
Clap Hanz,353
Mega Crit Games,354
Atelier-Sai,355
Blizzard North,356
Night Node Software,357
SIE Japan Studio,358
EA Bright Light,359
Rutubo Games,360
Route 1 Games,361
Microsoft,362
Athena,363
"Mesa Logic, Inc.",364
Flying Tiger Development,365
Dynamic Pixels,366
AlphaDream Corporation,367
Broadsword Interactive,368
MBL Research,369
Turtle Rock Studios,370
Eidos Hungary,371
Mosaic,372
Papaya Studio Corporation,373
JoWood Productions,374
Matt Roszak,375
WhiteMoon Dreams,376
Polyphony Digital,377
Glyphic Entertainment,378
NaturalMotion Games,379
Morgen Studios,380
Wizarbox Studios,381
Way Forward Technologies,382
Konami Computer Entertainment America,383
Sandblast Games,384
Quickdraw Developments Ltd.,385
Flight-Plan,386
Cyberlore Studios,387
Wadjet Eye Games,388
Iguana Entertainment,389
Shar Rock,390
Idea Pad,391
NA.P.S. Team SNC,392
Capcom / Dimps Corporation,393
Sensory Sweep,394
Nintendo R&D1,395
DMA Design,396
CyberConnect2,397
Infinite Machine,398
NeoCoreGames,399
Smart Dog,400
KID,401
Motivetime,402
Scholastic Interactive,403
HotGen Studios,404
Three Rings,405
Kamui,406
Neverland,407
EA Canada,408
Altron Corporation,409
Tryfirst,410
NetRevo,411
CAProduction,412
Starfish Inc.,413
Paon Corporation,414
5TH Cell,415
Firebrand Games,416
Naxat Soft,417
Neognosis,418
Brownie Brown,419
Ubisoft Montreal / Red Storm Entertainment,420
Mercury Steam,421
Birthday,422
D2C Games,423
7G//AMES,424
General Entertainment,425
Acclaim Studios Salt Lake City,426
Level 5/Studio Ghibli,427
Krome Studios / Screenlife Games,428
Rusty Lake,429
Square Enix / Bones,430
Majesco Games,431
Beast Studios S.r.l.,432
ProSoft,433
"Interworks Unlimited, Inc.",434
Power of 2,435
Graphic State,436
Red Fly Studio,437
City Interactive,438
Jellyvision,439
DK Games,440
Runic Games,441
Naked Sky,442
Realism Ltd,443
Giga,444
Mass Media,445
1C Company,446
Neuron Age,447
"ASK Co. Ltd., Ornith",448
Inti Creates,449
Super X Studios,450
Toys for Bob,451
Sanuk Games,452
Mojang AB,453
BugBear,454
Dan Walters,455
Milestone,456
Sony Computer Entertainment Japan,457
Mad Monkey Studio,458
Indie Built,459
Pitbull Syndicate,460
Bulkhead Interactive,461
Takuyo,462
Project Soul,463
Funcom,464
Quest Corporation,465
PROPE,466
Ice-pick Lodge,467
Funselektor Labs Inc.,468
Sushi Typhoon Games,469
Buzz Monkey,470
"Sega Studios, San Francisco",471
Harukaze,472
Wow Entertainment,473
EA Montreal,474
"Telegames, Inc.",475
Icy Studios,476
CUBETYPE,477
Tenky,478
Clever Beans / EPOS Game Studios,479
Goshow,480
Williams Entertainment,481
Beep Industries,482
Excalibur Publishing Limited,483
A-Max,484
X-ample,485
SAS Sakata,486
Terminal Reality,487
Media Entertainment,488
G.rev Ltd.,489
EA Tiburon,490
Titus Software,491
White Dog,492
Blue Fang Games,493
Team Destiny,494
Starfish  Inc.,495
Lobotomy Software,496
Team Silent,497
TechFront,498
UEP Systems,499
Core Design Ltd.,500
Mad Catz,501
Blue Tongue Entertainment,502
Robot Entertainment,503
Universal Gamex,504
Tamsoft Corporation,505
Pivotal Games,506
Shockwave Productions,507
Angel Studios,508
Grip Games,509
Aisystem Tokyo,510
Mystic Software,511
Skipmore,512
Colossal Order,513
Zed Two Limited,514
Master Creating,515
Reloaded Productions,516
Origin Systems,517
Compulsion Games,518
Splash Damage,519
Nippon Telenet,520
exozet games,521
Haemimont Games,522
Venan Entertainment / Cashmere Productions,523
Playbox Limited,524
Rodeo Games,525
Silent Software Inc.,526
Neon Studios,527
"Page 44 Studios, LLC",528
Team Bondi,529
SunSoft,530
Guerrilla Games,531
"Realtime Associates, Inc.",532
Gaslamp Games,533
Metro,534
Red Hook Studios,535
WolfgangIs,536
GAIA,537
United Game Artists,538
Midas Interactive Entertainment,539
KCE Sapporo,540
Blue Byte,541
Allicorn Games,542
Mistwalker Corporation / Feelplus Inc.,543
Activision,544
Aspect,545
Press Start Inc.,546
Creative Mesh,547
Team GrisGris,548
Tragnarion Studios,549
Q Entertainment,550
Nintendo R&D2,551
Nintendo EAD / Retro Studios,552
Ostrich Banditos,553
Time Warner Interactive,554
BudCat Games,555
Mobile 21,556
Spike Co.,557
Kuusou Kagaku,558
5 Bits Games,559
Smilebit,560
TYO,561
Weappy Studio,562
"Mossmouth, LLC",563
Tigon,564
Game Titan,565
Loose Cannon Studios,566
