nombre_editor,ID_editor
Daedalic Entertainment,1
IE Institute,2
Rebellion,3
Kiss,4
Taito,5
Marvelous Interactive,6
Fellow Traveller,7
Jaleco,8
Rebellion Games,9
Crystal Dynamics,10
Konami Digital Entertainment,11
Way Forward,12
Alawar Entertainment,13
Kadokawa Games,14
Independent Arts Software GmbH,15
Vatical Entertainment,16
Gears for Breakfast,17
Quaint Emerald,18
Sierra Entertainment,19
Sorath,20
Berserk Games,21
Galaxy Trail,22
Big Fish Games,23
SouthPeak Interactive,24
Nighthawk Interactive,25
GameTrust,26
Tigervision,27
Encore,28
Gathering of Developers,29
Kids Station,30
Tivola,31
Transhuman Design,32
Behold Studios,33
Maximum Games,34
Out of crump??t's:,35
AQ Interactive,36
Hackberry,37
Aruze Corp,38
Digerati Distribution,39
Real Dynamics,40
Blackfire Games,41
Commseed,42
Bomb,43
A.Y.std,44
Majesco,45
Polytron Corporation,46
Revolution Software,47
Matthew Brown,48
Experience Inc.,49
TinyBuild Games,50
Larian Studios,51
Asmik Ace Entertainment,52
Berkeley,53
Team Indev,54
Falcom Corporation,55
17-Bit,56
Takara Tomy,57
Tommo,58
Kalypso,59
Beamdog,60
Comfort,61
NEC,62
THQ,63
TopWare Interactive,64
Zushi Games,65
Quintet,66
Hovgaard Games,67
Team17 Software,68
Riverhillsoft,69
Zen Studios,70
Activision Value,71
Iceflake Studios,72
Seragam,73
Telegames,74
Glams,75
Slitherine Software,76
Universal Interactive,77
EA Sports BIG,78
Idea Factory,79
The Farm 51,80
Trapdoor,81
Axela,82
Agharta Studio,83
VR Sports,84
Griffin International,85
Astragon,86
Sonnet,87
DarkGod,88
EQ Games,89
On Demand,90
JVC,91
THQ Nordic,92
Sony Online Entertainment,93
Modus Games,94
Agatsuma Entertainment,95
Hot-B,96
Wargaming.net,97
Toby Fox,98
Sluggerfly,99
KillHouse Games,100
Broccoli,101
DL Softworks,102
Asmik Corp,103
Just1337 Publisher,104
Sunflowers,105
Russel,106
Carbine Studios,107
fonfun,108
Puppy Games,109
Sam Barlow,110
Over The Top Games,111
Compile Heart,112
Rebellion Developments,113
Crytek,114
Back To Basics Gaming,115
ESP,116
Fabio Ricci,117
KHB-Soft,118
"Orbital Media, Inc.",119
Summitsoft,120
